id,district,block,phc
771,NALBARI,Mukalmua BPHC,Mukalmua BPHC
772,NALBARI,Mukalmua BPHC,Daulashal MPHC
773,NALBARI,Mukalmua BPHC,Kurihamari MPHC
774,NALBARI,Mukalmua BPHC,Bartola MPHC
775,NALBARI,Mukalmua BPHC,Narua MPHC
776,NALBARI,Mukalmua BPHC,Barnabari MPHC
777,NALBARI,Mukalmua BPHC,Adabari MPHC
778,NALBARI,Mukalmua BPHC,Lawtola MPHC
779,NALBARI,Mukalmua BPHC,Peradharachar R.PHC
780,NALBARI,Mukalmua BPHC,Bejirsutichar R.PHC
781,NALBARI,Chamata,Chamata BPHC
782,NALBARI,Chamata,Belsor Milan MPHC
783,NALBARI,Chamata,Solmara  MPHC
784,NALBARI,Chamata,Boritapa MPHC
785,NALBARI,Chamata,Pipalibari MPHC
786,NALBARI,Chamata,Borbila MPHC
787,NALBARI,Chamata,Uttar Dharmapur MPHC
788,NALBARI,Chamata,Niz-bahjani MPHC
789,NALBARI,Chamata,Bhadra Arora MPHC
790,NALBARI,Chamata,Chandakuchi SHC
791,NALBARI,Chamata,Balowa SHC
792,NALBARI,Chamata,Jagara PHC
793,NALBARI,GHOGRAPAR,Ghograpar BPHC
794,NALBARI,GHOGRAPAR,Dhamdhama MPHC
795,NALBARI,GHOGRAPAR,Allia MPHC
796,NALBARI,GHOGRAPAR,Sanekuchi SD
797,NALBARI,GHOGRAPAR,Balitara MPHC
798,NALBARI,GHOGRAPAR,Dakhingaon SD
799,NALBARI,GHOGRAPAR,Nilpur SD
800,NALBARI,GHOGRAPAR,Silpotabari MPHC
801,NALBARI,GHOGRAPAR,Vithamahal PHC
802,NALBARI,GHOGRAPAR,Barkhala MPHC
803,NALBARI,GHOGRAPAR,Latima PHC
804,NALBARI,Tihu Reporting Unit,Haribhanga SD
